company,title,travelKind,travelLabel,qualifier,min,max,remoteSource,remoteEvidence,travelEvidence,notes,listingCount,sourceUrl,jobUrl
"Doral Renewables","Project Manager (Project Management) Utility Scale Solar","quantified","Up to 25%","ceiling","","25","description","ugh commercial operation of the facility. This role will be remote, but the ideal candidate must be able to travel to project sites up to 25% of the time. Responsibilities Support the EPC selection process, contract execution (including exh","Ability to travel up to 25% of the time.","","1","https://www.adzuna.com/details/5799457833","https://www.solarroles.com/jobs/adzuna-5799457833"
"Keystone Clearwater Solutions","Senior Project Manager – Solar Construction","unquantified","Site travel as needed","","","","description","ading solar EPC organization. This position is eligible for remote work. However, preference will be given to candidates located in the Northeast or along the East Coast, particularly those within or near our primary operating regions. Resp","Ability to travel to project sites as needed","","1","https://www.adzuna.com/details/5806114144","https://www.solarroles.com/jobs/adzuna-5806114144"
"Jobot","Solar Project Manager - Community Solar (REMOTE)","unquantified","Monthly site visits","","","","title_or_location","Solar Project Manager - Community Solar (REMOTE) | Houston, Harris County","minimal travel (once/month to job sites","","9","https://www.adzuna.com/details/5821420492","https://www.solarroles.com/jobs/adzuna-5821420492"
"Rise Technical Recruitment","Project Manager","unquantified","Site travel; frequency unspecified","","","","description","O 401(k) Match Additional Benefits Clear Career Progression Remote from Pennsylvania Are you an experienced Project Manager or Engineer from an EPC or energy construction background looking for the opportunity to take ownership of major ren","work remotely with travel to project sites","","2","https://www.adzuna.com/details/5827229918","https://www.solarroles.com/jobs/adzuna-5827229918"
"DEPCOM Power","Estimator","quantified","25%","stated","25","25","description","uston, TX office, requiring 10% travel for site visits. For remote employees, this role will involve 25% travel, which includes monthly trips to Scottsdale for meetings with internal teams as well as attending site visits. Please note that","For remote employees, this role will involve 25% travel","","2","https://www.adzuna.com/details/5831013479","https://www.solarroles.com/jobs/adzuna-5831013479"
"A2B DEVELOPMENT","Sr. Project Manager - C&I","quantified","Up to 20% (local)","ceiling","","20","description","Senior Project Manager MARS Energy Solutions | Remote – U.S.-Based Candidates Job Summary MARS Energy Solutions is seeking an experienced Senior Project Manager to lead the execution of commercial and industrial solar projects","Ability to travel to local job sites up to 20%","","1","https://www.adzuna.com/details/5831499061","https://www.solarroles.com/jobs/adzuna-5831499061"
"EDF power solutions","Senior Solar Design Engineer [Remote]","unquantified","Occasional site visits possible","","","","title_or_location","Senior Solar Design Engineer [Remote] | US","occasional site visits may be performed","","1","https://www.adzuna.com/details/5836797425","https://www.solarroles.com/jobs/adzuna-5836797425"
"EDF power solutions","Utility Scale Solar & BESS Project Manager [Hybrid]","quantified","Approximately 25% + other possible trips","approximate_plus","25","","description","sed in either our Columbia, MD or West Lebanon, NH offices. Remote may be considered for exceptional candidates located in select east coast/mid-Atlantic states. Salary Range The full pay range for this role is $105,100 - 175,100 per year.","approximately 25% of overall work time","","1","https://www.adzuna.com/details/5836797433","https://www.solarroles.com/jobs/adzuna-5836797433"
"Jobot","Solar / EPC Project Manager","not_stated","No travel or attendance requirement identified","","","","description","Fully-Covered Family Healthcare | 100% Remote | Solar/EPC Project Manager Opportunity! This Jobot Job is hosted by: David DeCristofaro Are you a fit? Easy Apply now by clicking the ""Quick Apply"" button and sending us yo","","","8","https://www.adzuna.com/details/5841840200","https://www.solarroles.com/jobs/adzuna-5841840200"
"DEPCOM Power","Civil Estimator","unquantified","Site visits as needed","","","","description","ton, TX, Scottsdale, AZ, or Bedminster, NJ office; however, remote work within the U.S. is an option. This position is not eligible for VISA Sponsorship. What You Will Do As a Civil Estimator at DEPCOM Power, you will help develop accurate,","Conduct site visits as needed","","2","https://www.adzuna.com/details/5842336977","https://www.solarroles.com/jobs/adzuna-5842336977"
"Mortenson","Senior Construction Electrical Project Manager I- Solar","quantified","Up to 50%","ceiling","","50","description","nce, with consideration given to internal equity. LI-GL1 LI-remote IND-GNL Please make note: Visa sponsorship is not offered for this position. Our postings are typically open a minimum of 5 days and an average of 44 days. ABOUT MORTENSON A","Travel: Up to 50% of the time","Remote evidence is an LI-remote tag; the body names headquarters or a regional office. Not proof of unrestricted home working.","1","https://www.adzuna.com/details/5846390585","https://www.solarroles.com/jobs/adzuna-5846390585"
"DEPCOM Power","Electrical Estimator","unquantified","Site visits as needed","","","","description","is ideally based in Scottsdale, AZ or Bedminster, NJ, with remote options available within the U.S. This position is not eligible for visa sponsorship. What You Will Do Refine electrical estimating processes and templates to improve accura","Conduct site visits as needed","","1","https://www.adzuna.com/details/5850778217","https://www.solarroles.com/jobs/adzuna-5850778217"
"LPL Solar","Engineering Project Manager","unquantified","Travel as required","","","","description","Project Job Title: Project Manager - Engineering Location: Remote Job Type: Full-Time Reports To: Director of Engineering (or designated Engineering Manager) LPL Solar is a self-perform solar EPC (Engineering, Procurement, and Construction","Ability to travel as required to support client meetings and project needs.","","2","https://www.adzuna.com/details/5858897080","https://www.solarroles.com/jobs/adzuna-5858897080"
"Consolidated Electrical Distributors","Commercial Solar Design Project Lead","unquantified","At least weekly visits","","","","description","or similar preliminary design software Working Conditions: Remote work on a small team, with multiple weekly check-ins Work standard business hours of 8am to 5pm within your time zone or within the time zone of the Division assigned Travel","Travel to a Greentech or customer location at least once per week","","1","https://www.adzuna.com/details/5861738016","https://www.solarroles.com/jobs/adzuna-5861738016"
"Hanwha Convergence USA","Regional Commercial Solar Technician 4","quantified","Approximately 60–75%","approximate_range","60","75","title_or_location","Regional Commercial Solar Technician 4 | Remote","Travel throughout the assigned region (approximately 60–75%)","","1","https://job-boards.greenhouse.io/hanwhaconvergence/jobs/4323539009","https://www.solarroles.com/jobs/cms38bop8000dvebnaj9yiay2"
"RES","Field Service Technician II – Solar BESS- Traveler","quantified","76–100%","range","76","100","title_or_location","Field Service Technician II – Solar BESS- Traveler | Remote, United States","Domestic travel 76-100% required.","","1","https://jobs.jobvite.com/resgroup/job/otCrAfwQ","https://www.solarroles.com/jobs/cmshlj6pc0000hrcmx3fkbu8e"
"RES","Lead Estimator - High Voltage & BESS","quantified","5–15%","range","5","15","title_or_location","Lead Estimator - High Voltage & BESS | Remote, United States","Ability to travel 5-15% required.","","1","https://jobs.jobvite.com/resgroup/job/optyAfwK","https://www.solarroles.com/jobs/cmskdtprl00001qxtllcmbf0c"
"SOLV Energy","Estimator, Services (Remote)","not_stated","No travel or attendance requirement identified","","","","title_or_location","Estimator, Services (Remote) | Remote, CA","","","1","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/Estimator--Services_J12749","https://www.solarroles.com/jobs/cmskecm53002w1qxtp9lsiaav"
"SOLV Energy","Assistant Commissioning Project Manager, PV","unquantified","Extended out-of-town stays","","","","title_or_location","Assistant Commissioning Project Manager, PV | Remote, CA","Travel is expected, including extended out‑of‑town stays","Remote location label; body explicitly describes a hybrid arrangement and required site presence.","4","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/Assistant-Commissioning-Project-Manager--PV_J13771","https://www.solarroles.com/jobs/cmskecmqi00301qxt4zuvj5ga"
"SOLV Energy","Commissioning Project Manager (Remote)","unquantified","Regional travel required","","","","title_or_location","Commissioning Project Manager (Remote) | Remote, ND","remote with travel required within the Midwest region","Grouped regional versions mention Midwest or South Central travel; both require travel.","2","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---ND/Commissioning-Project-Manager--Remote-_J13694","https://www.solarroles.com/jobs/cmskecoiu00361qxtj4jwb8pk"
"SOLV Energy","Assistant Commissioning Project Manager, HV","unquantified","Extended out-of-town stays","","","","title_or_location","Assistant Commissioning Project Manager, HV | Remote, CA","Travel is expected, including extended out‑of‑town stays","Remote location label; body explicitly describes a hybrid arrangement and required site presence.","2","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/Assistant-Commissioning-Project-Manager--HV_J13014","https://www.solarroles.com/jobs/cmskecoyz00391qxtac1u1tof"
"SOLV Energy","Assistant Commissioning Project Manager, BESS","unquantified","Extended out-of-town stays","","","","title_or_location","Assistant Commissioning Project Manager, BESS | Remote, CA","Travel is expected, including extended out‑of‑town stays","Remote location label; body explicitly describes a hybrid arrangement and required site presence.","1","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/Assistant-Commissioning-Project-Manager--BESS_J13205","https://www.solarroles.com/jobs/cmskecp4e003a1qxt2j5oplt9"
"SOLV Energy","SCADA Project Manager II, EPC (Remote)","office","Office attendance wording is ambiguous","","","","title_or_location","SCADA Project Manager II, EPC (Remote) | San Diego Renewable Group, CA","with regular in-office presence in San Diego, CA or Bend, OR","Remote or hybrid options appear alongside regular office presence; the text does not clearly allocate that condition to one option.","1","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/San-Diego-CA-Renewable-Group/SCADA-Project-Manager-II--EPC--Remote-_J13403","https://www.solarroles.com/jobs/cmskecqbh003i1qxt8l8dggnp"
"SOLV Energy","BESS Engineer II (Remote)","unquantified","Travel as required","","","","title_or_location","BESS Engineer II (Remote) | Remote, CA","Travel as required to support project execution.","","1","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/BESS-Engineer-II--Remote-_J13228","https://www.solarroles.com/jobs/cmskecqrs003k1qxtcf06fl5c"
"SOLV Energy","EPC Regional Manager, Utility Scale Solar (West Region)","unquantified","Travel required","","","","description","hybrid, with regular in-office presence in San Diego, CA or remote within the West Region (CA, NV, WA) and will require travel. Specific location details and expectations will be discussed during the interview process. Job Description: *Thi","will require travel","","1","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/San-Diego-CA-Renewable-Group/EPC-Regional-Manager--Utility-Scale-Solar--West-Region-_J12638","https://www.solarroles.com/jobs/cmskecr2r003l1qxtqh6wt1dn"
"SOLV Energy","HV Project Manager (Remote)","unquantified","Regular site and office travel","","","","title_or_location","HV Project Manager (Remote) | Remote, CA","Regular travel required to project sites, utility offices, and vendor facilities","Remote-title and office-or-remote versions grouped as one employer-role combination; both state regular travel.","2","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/HV-Project-Manager_J13268","https://www.solarroles.com/jobs/cmskecrdh003m1qxtsoue1xcx"
"SOLV Energy","Senior Project Controls Scheduler, BESS (Remote)","unquantified","Site travel required","","","","title_or_location","Senior Project Controls Scheduler, BESS (Remote) | Remote, CA","Position requires travel to jobsites","","1","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/Senior-Project-Controls-Scheduler--BESS--Remote-_J13196","https://www.solarroles.com/jobs/cmskecrtr003n1qxt1ujzj0wz"
"SOLV Energy","Commissioning Project Manager, BESS","unquantified","Frequent travel and extended assignments","","","","title_or_location","Commissioning Project Manager, BESS | Remote, CA","Frequent travel and extended project-site assignments are expected","Remote location label; body explicitly describes a hybrid arrangement and required site presence.","2","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/Commissioning-Project-Manager--BESS_J13802","https://www.solarroles.com/jobs/cmsubo3mz000nahnnhrql8jmb"
"Venture Solar","Inside Sales Specialist (Fully Remote)","not_stated","No travel or attendance requirement identified","","","","title_or_location","Inside Sales Specialist (Fully Remote) | Remote","","","3","https://venturesolar.applytojob.com/apply/WFtpmp4eQr/Inside-Sales-Specialist-Fully-Remote","https://www.solarroles.com/jobs/cmt3dswcp0001niddeo9sm8tx"
"Solar.com","Senior Full-Stack Engineer","not_stated","No travel or attendance requirement identified","","","","title_or_location","Senior Full-Stack Engineer | Remote","","","1","https://www.solar.com/careers/senior-full-stack-engineer/","https://www.solarroles.com/jobs/cmt7tkhef0000xak3hlg5zsst"
"Solar.com","Product Manager","not_stated","No travel or attendance requirement identified","","","","title_or_location","Product Manager | Remote","","","1","https://www.solar.com/careers/product-manager/","https://www.solarroles.com/jobs/cmt7tkhnz0001xak3ovxktqa2"
"Solar.com","Pricing Analyst","not_stated","No travel or attendance requirement identified","","","","title_or_location","Pricing Analyst | Remote","","","1","https://www.solar.com/careers/solar-pricing-analyst/","https://www.solarroles.com/jobs/cmt7tkht30002xak3vs9hwyt7"
"Solar.com","Energy Advisor","not_stated","No travel or attendance requirement identified","","","","title_or_location","Energy Advisor | Remote","","","1","https://www.solar.com/careers/energy-advisor/","https://www.solarroles.com/jobs/cmt7tki0k0003xak3q6oosvgx"
"Solar.com","Installer Partnerships Manager","not_stated","No travel or attendance requirement identified","","","","title_or_location","Installer Partnerships Manager | Remote","","","1","https://www.solar.com/careers/installer-partnerships-manager/","https://www.solarroles.com/jobs/cmt7tki5m0004xak32b3xi83v"
"Solar.com","Growth Marketer","not_stated","No travel or attendance requirement identified","","","","title_or_location","Growth Marketer | Remote","","","1","https://www.solar.com/careers/growth-marketer/","https://www.solarroles.com/jobs/cmt7tkiap0005xak3w3f42pqk"
"Solar Tech Elec LLC","Virtual Sales Agents","not_stated","No travel or attendance requirement identified","","","","title_or_location","Virtual Sales Agents | Remote","","","1","https://solartechelec.com/careers/virtual-sales-agents/","https://www.solarroles.com/jobs/cmt7tllhb000dxak30c24oikj"
"SOLV Energy","BESS Engineer III (Remote)","unquantified","Travel as required","","","","title_or_location","BESS Engineer III (Remote) | Remote, CA","Travel as required to support project execution.","","1","https://solvenergy.wd1.myworkdayjobs.com/SOLV_External_Career/job/Remote---CA/BESS-Engineer-III--Remote-_J13825","https://www.solarroles.com/jobs/cmtfp9ewt000k12ivd22xiume"
"Moss Construction","Project Manager, BESS Preconstruction Management","quantified","25%, up to 50% (remote option)","range","25","50","description","areer development. In Office - Ability to travel up to 25%. Remote – Ability to travel 25%, up to 50%. JOB TITLE: PRECONSTRUCTION PROJECT MANAGER, BESS - PRECONSTRUCTION MANAGEMENT JOB LOCATION: FORT LAUDERDALE, FL [OPEN TO REMOTE FOR THE R","Remote – Ability to travel 25%, up to 50%.","","1","https://mosscm.wd1.myworkdayjobs.com/Moss_Careers/job/FORT-LAUDERDALE-FL/Project-Manager--BESS-Preconstruction-Management_R-2929","https://www.solarroles.com/jobs/cmtk79gwu000d4f9iejbrni93"
"Clean Energy Services","BESS Field Technician 1 – Operations & Maintenance","unquantified","Regular travel to sites","","","","title_or_location","BESS Field Technician 1 – Operations & Maintenance | Remote (United States)","traveling to new sites as part of their regular schedule","","1","https://ats.rippling.com/clean-energy-services-careers/jobs/c9888608-4bc4-499f-bd81-b33b08637ab5","https://www.solarroles.com/jobs/cmtk7p6j4000f4f9iroqqvxh2"
"Clean Energy Services","Battery Storage Technician","unquantified","Regular travel to sites","","","","title_or_location","Battery Storage Technician | Remote (United States)","traveling to new sites as part of their regular schedule","","1","https://ats.rippling.com/clean-energy-services-careers/jobs/14a644e9-6933-4fa8-93a4-74903183d901","https://www.solarroles.com/jobs/cmtk7p7j6000g4f9iu7z3j1z9"
"Clean Energy Services","Solar Maintenance Technician","unquantified","Regular travel to sites","","","","title_or_location","Solar Maintenance Technician | Remote (United States)","traveling to new sites as part of their regular schedule","","1","https://ats.rippling.com/clean-energy-services-careers/jobs/f99d36d3-c343-4050-952a-20661d46d86c","https://www.solarroles.com/jobs/cmtk7p836000i4f9ie8vsevog"
"ENGIE","Field Service Technician II (Traveling)","quantified","Up to 85%","ceiling","","85","title_or_location","Field Service Technician II (Traveling) | Remote, US, Texas","Must be available to travel domestically up to 85% of the time","","1","https://jobs.engie.com/job/Remote-Field-Service-Technician-II-%28Traveling%29-Texas/1365874955/","https://www.solarroles.com/jobs/cmtk7piwc000o4f9i587bpwg5"
"Sargent Electric","Solar Project Manager","unquantified","Regular site travel required","","","","description","s, in the safest possible way, for multi-million-dollar solar projects. This position can be worked remotely. Travel to project sites on a r","Travel to project sites on a regular basis is required.","","1","https://www.adzuna.com/details/5537287546","https://www.solarroles.com/jobs/adzuna-5537287546"
"Bowman","Assistant Project Manager, Solar PV & BESS","field","Site work appears in physical demands","","","","description","iption Bowman has an opportunity for an Assistant Project Manager, Solar PV & BESS to join our team remotely. At Bowman, we believe in creat","Mobility around a job/construction site","Site conditions are described, but there is no explicit travel frequency or office attendance schedule.","1","https://www.adzuna.com/details/5806665284","https://www.solarroles.com/jobs/adzuna-5806665284"
